# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.225	0.4	0.00952075
-0.225	0.425	0.00713822
-0.225	0.45	0.0047547
-0.225	0.475	0.00237552
-0.225	0.5	0

-0.2	-0.5	0
-0.2	-0.475	0.00030383
-0.2	-0.45	0.000623054
-0.2	-0.425	0.000976723
-0.2	-0.4	0.00139115
-0.2	-0.375	0.0019038
-0.2	-0.35	0.00256664
-0.2	-0.325	0.00344722
-0.2	-0.3	0.00462395
-0.2	-0.275	0.0061712
-0.2	-0.25	0.0081311
-0.2	-0.225	0.0104759
-0.2	-0.2	0.013076
-0.2	-0.175	0.015685
-0.2	-0.15	0.0179211
-0.2	-0.125	0.0192162
-0.2	-0.1	0.0187231
-0.2	-0.075	0.0152024
-0.2	-0.05	0.00707434
-0.2	-0.025	-0.00645566
-0.2	0	-0.0196613
-0.2	0.025	-0.00438243
-0.2	0.05	0.0112681
-0.2	0.075	0.0215941
-0.2	0.1	0.0273869
-0.2	0.125	0.0301827
-0.2	0.15	0.0311328
-0.2	0.175	0.0309529
-0.2	0.2	0.0300461
-0.2	0.225	0.0286201
-0.2	0.25	0.0267783
-0.2	0.275	0.0245887
-0.2	0.3	0.0221242
-0.2	0.325	0.0194671
-0.2	0.35	0.0166972
-0.2	0.375	0.0138789
-0.2	0.4	0.0110565
-0.2	0.425	0.00825468
-0.2	0.45	0.00548151
-0.2	0.475	0.00273356
-0.2	0.5	0

-0.175	-0.5	0
-0.175	-0.475	0.000231258
-0.175	-0.45	0.00047281
-0.175	-0.425	0.000739872
-0.175	-0.4	0.0010581
-0.175	-0.375	0.00147074
-0.175	-0.35	0.00204712
-0.175	-0.325	0.00289063
-0.175	-0.3	0.00414048
-0.175	-0.275	0.00595708
-0.175	-0.25	0.00847913
-0.175	-0.225	0.0117544
-0.175	-0.2	0.015685
-0.175	-0.175	0.020049
-0.175	-0.15	0.0245306
-0.175	-0.125	0.0287172
-0.175	-0.1	0.0320708
-0.175	-0.075	0.0339338
-0.175	-0.05	0.0337268
-0.175	-0.025	0.0316685
-0.175	0	0.0302365
-0.175	0.025	0.0340073
-0.175	0.05	0.0385055
-0.175	0.075	0.0413286
-0.175	0.1	0.0422736
-0.175	0.125	0.0418748
-0.175	0.15	0.0406753
-0.175	0.175	0.039025
-0.175	0.2	0.0370799
-0.175	0.225	0.0348591
-0.175	0.25	0.0323202
-0.175	0.275	0.0294419
-0.175	0.3	0.0262777
-0.175	0.325	0.0229314
-0.175	0.35	0.0195109
-0.175	0.375	0.0160992
-0.175	0.4	0.0127451
-0.175	0.425	0.00946795
-0.175	0.45	0.00626456
-0.175	0.475	0.00311728
-0.175	0.5	0

-0.15	-0.5	0
-0.15	-0.475	0.000128516
-0.15	-0.45	0.000255888
-0.15	-0.425	0.000386387
-0.15	-0.4	0.000536708
-0.15	-0.375	0.00074695
-0.15	-0.35	0.00109715
-0.15	-0.325	0.00172906
-0.15	-0.3	0.00286656
-0.15	-0.275	0.00481392
-0.15	-0.25	0.00789335
-0.15	-0.225	0.0122937
-0.15	-0.2	0.0179211
-0.15	-0.175	0.0245306
-0.15	-0.15	0.0318536
-0.15	-0.125	0.0396242
-0.15	-0.1	0.0475275
-0.15	-0.075	0.0551149
-0.15	-0.05	0.0617673
-0.15	-0.025	0.066964
-0.15	0	0.0709638
-0.15	0.025	0.0694893
-0.15	0.05	0.0670132
-0.15	0.075	0.0634435
-0.15	0.1	0.0593355
-0.15	0.125	0.0552682
-0.15	0.15	0.0515492
-0.15	0.175	0.0482339
-0.15	0.2	0.0451953
-0.15	0.225	0.0421854
-0.15	0.25	0.0389216
-0.15	0.275	0.0352298
-0.15	0.3	0.0311738
-0.15	0.325	0.0269363
-0.15	0.35	0.0226921
-0.15	0.375	0.0185554
-0.15	0.4	0.014578
-0.15	0.425	0.010765
-0.15	0.45	0.00709257
-0.15	0.475	0.00352037
-0.15	0.5	0

-0.125	-0.5	0
-0.125	-0.475	-9.10417e-07
-0.125	-0.45	-2.27021e-05
-0.125	-0.425	-8.2342e-05
-0.125	-0.4	-0.000186312
-0.125	-0.375	-0.000317018
-0.125	-0.35	-0.000406537
-0.125	-0.325	-0.000291102
-0.125	-0.3	0.000354108
-0.125	-0.275	0.00207153
-0.125	-0.25	0.00556723
-0.125	-0.225	0.0113612
-0.125	-0.2	0.0192162
