time,object,x,y,z
0.339493,Earth,-0.577546,0.862581,0
0.339493,Jupiter,-5.11635,-0.930158,0
0.342231,Sun,-0.0810983,-0.00497788,0
0.342231,Earth,-0.593317,0.853454,0
0.342231,Jupiter,-5.11499,-0.937575,0
0.344969,Sun,-0.0824096,-0.00509921,0
0.344969,Earth,-0.608947,0.844068,0
0.344969,Jupiter,-5.11361,-0.94499,0
0.347707,Sun,-0.0837314,-0.00522253,0
0.347707,Earth,-0.624433,0.834426,0
0.347707,Jupiter,-5.11223,-0.952403,0
0.350445,Sun,-0.0850639,-0.00534784,0
0.350445,Earth,-0.639768,0.82453,0
0.350445,Jupiter,-5.11083,-0.959814,0
0.353183,Sun,-0.0864069,-0.00547517,0
0.353183,Earth,-0.65495,0.814383,0
0.353183,Jupiter,-5.10942,-0.967223,0
0.355921,Sun,-0.0877605,-0.00560452,0
0.355921,Earth,-0.669974,0.803986,0
0.355921,Jupiter,-5.108,-0.97463,0
0.358658,Sun,-0.0891248,-0.00573592,0
0.358658,Earth,-0.684836,0.793344,0
0.358658,Jupiter,-5.10657,-0.982034,0
0.361396,Sun,-0.0904996,-0.00586938,0
0.361396,Earth,-0.699531,0.782458,0
0.361396,Jupiter,-5.10513,-0.989437,0
0.364134,Sun,-0.0918851,-0.00600492,0
0.364134,Earth,-0.714056,0.771331,0
0.364134,Jupiter,-5.10368,-0.996837,0
0.366872,Sun,-0.0932812,-0.00614256,0
0.366872,Earth,-0.728406,0.759967,0
0.366872,Jupiter,-5.10222,-1.00423,0
0.36961,Sun,-0.0946879,-0.00628231,0
0.36961,Earth,-0.742576,0.748368,0
0.36961,Jupiter,-5.10074,-1.01163,0
0.372348,Sun,-0.0961052,-0.0064242,0
0.372348,Earth,-0.756564,0.736537,0
0.372348,Jupiter,-5.09926,-1.01902,0
0.375086,Sun,-0.0975331,-0.00656823,0
0.375086,Earth,-0.770365,0.724477,0
0.375086,Jupiter,-5.09776,-1.02642,0
0.377823,Sun,-0.0989717,-0.00671443,0
0.377823,Earth,-0.783975,0.712192,0
0.377823,Jupiter,-5.09625,-1.0338,0
0.380561,Sun,-0.100421,-0.00686281,0
0.380561,Earth,-0.797389,0.699685,0
0.380561,Jupiter,-5.09473,-1.04119,0
0.383299,Sun,-0.101881,-0.00701339,0
0.383299,Earth,-0.810605,0.686959,0
0.383299,Jupiter,-5.0932,-1.04858,0
0.386037,Sun,-0.103351,-0.00716619,0
0.386037,Earth,-0.823619,0.674018,0
0.386037,Jupiter,-5.09166,-1.05596,0
0.388775,Sun,-0.104832,-0.00732123,0
0.388775,Earth,-0.836425,0.660864,0
0.388775,Jupiter,-5.09011,-1.06334,0
0.391513,Sun,-0.106324,-0.00747852,0
0.391513,Earth,-0.849022,0.647503,0
0.391513,Jupiter,-5.08854,-1.07072,0
0.394251,Sun,-0.107826,-0.00763807,0
0.394251,Earth,-0.861405,0.633937,0
0.394251,Jupiter,-5.08697,-1.07809,0
0.396988,Sun,-0.109339,-0.00779992,0
0.396988,Earth,-0.873571,0.620169,0
0.396988,Jupiter,-5.08538,-1.08546,0
0.399726,Sun,-0.110863,-0.00796406,0
0.399726,Earth,-0.885515,0.606205,0
0.399726,Jupiter,-5.08379,-1.09283,0
0.402464,Sun,-0.112397,-0.00813053,0
0.402464,Earth,-0.897235,0.592047,0
0.402464,Jupiter,-5.08218,-1.1002,0
0.405202,Sun,-0.113942,-0.00829934,0
0.405202,Earth,-0.908727,0.5777,0
0.405202,Jupiter,-5.08056,-1.10757,0
0.40794,Sun,-0.115498,-0.00847051,0
0.40794,Earth,-0.919988,0.563168,0
0.40794,Jupiter,-5.07893,-1.11493,0
0.410678,Sun,-0.117064,-0.00864405,0
0.410678,Earth,-0.931013,0.548455,0
0.410678,Jupiter,-5.07729,-1.12229,0
0.413415,Sun,-0.118641,-0.00881999,0
0.413415,Earth,-0.941802,0.533564,0
0.413415,Jupiter,-5.07563,-1.12965,0
0.416153,Sun,-0.120228,-0.00899833,0
0.416153,Earth,-0.952349,0.5185,0
0.416153,Jupiter,-5.07397,-1.137,0
0.418891,Sun,-0.121827,-0.0091791,0
0.418891,Earth,-0.962651,0.503268,0
0.418891,Jupiter,-5.07229,-1.14436,0
0.421629,Sun,-0.123435,-0.00936232,0
0.421629,Earth,-0.972707,0.487872,0
0.421629,Jupiter,-5.07061,-1.15171,0
0.424367,Sun,-0.125055,-0.009548,0
0.424367,Earth,-0.982512,0.472316,0
0.424367,Jupiter,-5.06891,-1.15905,0
0.427105,Sun,-0.126685,-0.00973617,0
0.427105,Earth,-0.992064,0.456605,0
0.427105,Jupiter,-5.0672,-1.1664,0
0.429843,Sun,-0.128326,-0.00992683,0
0.429843,Earth,-1.00136,0.440743,0
0.429843,Jupiter,-5.06548,-1.17374,0
0.43258,Sun,-0.129978,-0.01012,0
0.43258,Earth,-1.0104,0.424735,0
0.43258,Jupiter,-5.06375,-1.18108,0
0.435318,Sun,-0.13164,-0.0103157,0
0.435318,Earth,-1.01917,0.408586,0
0.435318,Jupiter,-5.06201,-1.18842,0
0.438056,Sun,-0.133313,-0.010514,0
0.438056,Earth,-1.02769,0.3923,0
0.438056,Jupiter,-5.06025,-1.19575,0
0.440794,Sun,-0.134997,-0.0107148,0
0.440794,Earth,-1.03593,0.375882,0
0.440794,Jupiter,-5.05849,-1.20308,0
0.443532,Sun,-0.136691,-0.0109182,0
0.443532,Earth,-1.04391,0.359337,0
0.443532,Jupiter,-5.05671,-1.21041,0
0.44627,Sun,-0.138396,-0.0111243,0
0.44627,Earth,-1.05161,0.34267,0
0.44627,Jupiter,-5.05492,-1.21774,0
0.449008,Sun,-0.140112,-0.0113329,0
0.449008,Earth,-1.05905,0.325886,0
0.449008,Jupiter,-5.05313,-1.22506,0
0.451745,Sun,-0.141838,-0.0115442,0
0.451745,Earth,-1.0662,0.308991,0
0.451745,Jupiter,-5.05132,-1.23238,0
0.454483,Sun,-0.143575,-0.0117582,0
0.454483,Earth,-1.07308,0.291988,0
0.454483,Jupiter,-5.0495,-1.2397,0
0.457221,Sun,-0.145323,-0.0119748,0
0.457221,Earth,-1.07968,0.274884,0
0.457221,Jupiter,-5.04766,-1.24702,0
0.459959,Sun,-0.147082,-0.0121942,0
0.459959,Earth,-1.086,0.257683,0
0.459959,Jupiter,-5.04582,-1.25433,0
0.462697,Sun,-0.148851,-0.0124162,0
0.462697,Earth,-1.09203,0.240391,0
0.462697,Jupiter,-5.04397,-1.26164,0
0.465435,Sun,-0.150631,-0.012641,0
0.465435,Earth,-1.09778,0.223013,0
0.465435,Jupiter,-5.0421,-1.26895,0
0.468172,Sun,-0.152422,-0.0128686,0
0.468172,Earth,-1.10325,0.205554,0
0.468172,Jupiter,-5.04022,-1.27625,0
0.47091,Sun,-0.154223,-0.0130989,0
0.47091,Earth,-1.10842,0.18802,0
0.47091,Jupiter,-5.03833,-1.28355,0
0.473648,Sun,-0.156035,-0.013332,0
0.473648,Earth,-1.11331,0.170416,0
0.473648,Jupiter,-5.03643,-1.29085,0
0.476386,Sun,-0.157858,-0.0135679,0
0.476386,Earth,-1.1179,0.152748,0
0.476386,Jupiter,-5.03452,-1.29814,0
0.479124,Sun,-0.159692,-0.0138067,0
0.479124,Earth,-1.1222,0.135021,0
0.479124,Jupiter,-5.0326,-1.30543,0
0.481862,Sun,-0.161536,-0.0140483,0
0.481862,Earth,-1.12621,0.117241,0
0.481862,Jupiter,-5.03067,-1.31272,0
0.4846,Sun,-0.163391,-0.0142927,0
0.4846,Earth,-1.12993,0.0994134,0
0.4846,Jupiter,-5.02872,-1.32001,0
0.487337,Sun,-0.165257,-0.0145401,0
0.487337,Earth,-1.13335,0.0815434,0
0.487337,Jupiter,-5.02677,-1.32729,0
0.490075,Sun,-0.167134,-0.0147903,0
0.490075,Earth,-1.13647,0.0636369,0
0.490075,Jupiter,-5.0248,-1.33457,0
0.492813,Sun,-0.169021,-0.0150435,0
0.492813,Earth,-1.1393,0.0456996,0
0.492813,Jupiter,-5.02282,-1.34185,0
0.495551,Sun,-0.170919,-0.0152996,0
0.495551,Earth,-1.14184,0.0277372,0
0.495551,Jupiter,-5.02083,-1.34912,0
0.498289,Sun,-0.172828,-0.0155586,0
0.498289,Earth,-1.14407,0.00975526,0
0.498289,Jupiter,-5.01883,-1.35639,0
0.501027,Sun,-0.174748,-0.0158207,0
0.501027,Earth,-1.14601,-0.00824037,0
0.501027,Jupiter,-5.01682,-1.36366,0
